Metro,Date,ZORI,ZHVI,Income,Population,AffordabilityRatio
"Colorado Springs, CO",2015-01-31,1050.4451870596006,234750.077698764,89792.0,768832.0,2.6143763107934337
"Boulder, CO",2015-01-31,1472.575958433854,396100.45274969673,95363.0,326831.0,4.153607297900619
"Grand Junction, CO",2015-01-31,876.2770178855275,200813.83739582248,64722.0,159681.0,3.1027137201542363
"Colorado Springs, CO",2015-02-28,1057.6662418997194,236066.1060761298,89792.0,768832.0,2.6290327209119946
"Boulder, CO",2015-02-28,1486.561886877647,400511.2760254238,95363.0,326831.0,4.199860281507752
"Grand Junction, CO",2015-02-28,874.6217050998421,202164.6100818126,64722.0,159681.0,3.1235840994068877
"Colorado Springs, CO",2015-03-31,1062.0972875003329,237289.64455935007,89792.0,768832.0,2.642659084989198
"Boulder, CO",2015-03-31,1491.4631177693043,405364.7896737932,95363.0,326831.0,4.250755425833847
"Grand Junction, CO",2015-03-31,878.9889942685762,203361.30998248924,64722.0,159681.0,3.142073946764458
"Colorado Springs, CO",2015-04-30,1067.9424140370886,238438.35788539416,89792.0,768832.0,2.655452132544037
"Boulder, CO",2015-04-30,1504.348067241964,409019.61104716576,95363.0,326831.0,4.289080786543688
"Pueblo, CO",2015-04-30,763.3191953041201,129651.95157279116,65161.0,169422.0,1.9897170327771392
"Grand Junction, CO",2015-04-30,886.1507954968954,204474.85869311,64722.0,159681.0,3.159279050293718
"Colorado Springs, CO",2015-05-31,1077.275810781785,239371.1018725748,89792.0,768832.0,2.665839962052018
"Boulder, CO",2015-05-31,1513.094023532213,412790.9643393506,95363.0,326831.0,4.328628129770986
"Pueblo, CO",2015-05-31,770.0669097114617,130501.18559777467,65161.0,169422.0,2.002749890237637
"Grand Junction, CO",2015-05-31,899.776442981755,205494.722547556,64722.0,159681.0,3.1750366575129942
"Colorado Springs, CO",2015-06-30,1084.1383347595788,240281.559806766,89792.0,768832.0,2.6759795951395002
"Boulder, CO",2015-06-30,1536.7196499361748,416162.792259854,95363.0,326831.0,4.363985951153529
"Pueblo, CO",2015-06-30,764.393689955825,131398.34831719025,65161.0,169422.0,2.0165182903453025
"Grand Junction, CO",2015-06-30,904.972221045806,206428.949954,64722.0,159681.0,3.1894711219368994
"Colorado Springs, CO",2015-07-31,1092.1092316912243,241496.7348100801,89792.0,768832.0,2.689512816398789
"Boulder, CO",2015-07-31,1557.3497011563268,420428.1772851858,95363.0,326831.0,4.408713833302075
"Pueblo, CO",2015-07-31,771.3192225383201,132357.8918328319,65161.0,169422.0,2.0312440237693083
"Grand Junction, CO",2015-07-31,904.8181932791264,207398.3584485231,64722.0,159681.0,3.2044491586867387
"Colorado Springs, CO",2015-08-31,1095.7453487023622,243098.23587045624,89792.0,768832.0,2.7073484928552234
"Boulder, CO",2015-08-31,1581.1713267801174,425200.8880169543,95363.0,326831.0,4.458761658263208
"Pueblo, CO",2015-08-31,774.094111696666,133455.20638056155,65161.0,169422.0,2.0480840745317224
"Grand Junction, CO",2015-08-31,899.3645802291923,208248.86905244915,64722.0,159681.0,3.2175901401756613
