Metro,Income
Colorado,92911.0
Colorado!!Families!!Estimate,115335.0
Colorado!!Married-couple families!!Estimate,132187.0
Colorado!!Nonfamily households!!Estimate,60009.0
"Boulder, CO Metro Area",95363.0
"Boulder, CO Metro Area!!Families!!Estimate",139421.0
"Boulder, CO Metro Area!!Married-couple families!!Estimate",160712.0
"Boulder, CO Metro Area!!Nonfamily households!!Estimate",55633.0
"Colorado Springs, CO Metro Area",89792.0
"Colorado Springs, CO Metro Area!!Families!!Estimate",104973.0
"Colorado Springs, CO Metro Area!!Married-couple families!!Estimate",118321.0
"Colorado Springs, CO Metro Area!!Nonfamily households!!Estimate",54819.0
"Denver-Aurora-Centennial, CO Metro Area",103055.0
"Denver-Aurora-Centennial, CO Metro Area!!Families!!Estimate",129672.0
"Denver-Aurora-Centennial, CO Metro Area!!Married-couple families!!Estimate",148907.0
"Denver-Aurora-Centennial, CO Metro Area!!Nonfamily households!!Estimate",66999.0
"Fort Collins-Loveland, CO Metro Area",88182.0
"Fort Collins-Loveland, CO Metro Area!!Families!!Estimate",118078.0
"Fort Collins-Loveland, CO Metro Area!!Married-couple families!!Estimate",131055.0
"Fort Collins-Loveland, CO Metro Area!!Nonfamily households!!Estimate",50109.0
"Grand Junction, CO Metro Area",64722.0
"Grand Junction, CO Metro Area!!Families!!Estimate",87105.0
"Grand Junction, CO Metro Area!!Married-couple families!!Estimate",98477.0
"Grand Junction, CO Metro Area!!Nonfamily households!!Estimate",42906.0
"Pueblo, CO Metro Area",65161.0
"Pueblo, CO Metro Area!!Families!!Estimate",77785.0
"Pueblo, CO Metro Area!!Married-couple families!!Estimate",96942.0
"Pueblo, CO Metro Area!!Nonfamily households!!Estimate",37683.0
"Rifle, CO Micro Area",98105.0
"Rifle, CO Micro Area!!Families!!Estimate",110510.0
"Rifle, CO Micro Area!!Married-couple families!!Estimate",131897.0
"Rifle, CO Micro Area!!Nonfamily households!!Estimate",71792.0
