Metro,Date,ZHVI
"Denver, CO",,394530
"Colorado Springs, CO",,394484
"Fort Collins, CO",,394602
"Boulder, CO",,394405
"Greeley, CO",,394645
"Pueblo, CO",,395007
"Grand Junction, CO",,394639
"Glenwood Springs, CO",,753881
"Edwards, CO",,394556
"Durango, CO",,394547
"Ca-¦on City, CO",,394437
"Montrose, CO",,394876
"Breckenridge, CO",,753871
"Fort Morgan, CO",,394606
"Steamboat Springs, CO",,753921
"Sterling, CO",,395130
"Craig, CO",,753874
"Denver, CO",,19
"Colorado Springs, CO",,80
"Fort Collins, CO",,152
"Boulder, CO",,156
"Greeley, CO",,161
"Pueblo, CO",,264
"Grand Junction, CO",,280
"Glenwood Springs, CO",,456
"Edwards, CO",,566
"Durango, CO",,567
"Ca-¦on City, CO",,612
"Montrose, CO",,628
"Breckenridge, CO",,811
"Fort Morgan, CO",,827
"Steamboat Springs, CO",,867
"Sterling, CO",,890
"Craig, CO",,937
"Denver, CO",,msa
"Colorado Springs, CO",,msa
"Fort Collins, CO",,msa
"Boulder, CO",,msa
"Greeley, CO",,msa
"Pueblo, CO",,msa
"Grand Junction, CO",,msa
"Glenwood Springs, CO",,msa
"Edwards, CO",,msa
"Durango, CO",,msa
"Ca-¦on City, CO",,msa
"Montrose, CO",,msa
"Breckenridge, CO",,msa
"Fort Morgan, CO",,msa
"Steamboat Springs, CO",,msa
"Sterling, CO",,msa
"Craig, CO",,msa
"Denver, CO",2000-01-31,194658.97326768324
"Colorado Springs, CO",2000-01-31,167386.57120615794
"Fort Collins, CO",2000-01-31,195703.12522219823
"Boulder, CO",2000-01-31,233009.3798381058
"Greeley, CO",2000-01-31,177903.29731467084
"Pueblo, CO",2000-01-31,107945.97088292555
"Grand Junction, CO",2000-01-31,142754.64184614003
"Glenwood Springs, CO",2000-01-31,199423.94914803252
"Edwards, CO",2000-01-31,318140.6795357858
"Durango, CO",2000-01-31,
"Ca-¦on City, CO",2000-01-31,
"Montrose, CO",2000-01-31,126305.37233733296
"Breckenridge, CO",2000-01-31,
"Fort Morgan, CO",2000-01-31,
"Steamboat Springs, CO",2000-01-31,227089.05575877737
"Sterling, CO",2000-01-31,92888.91325270911
"Craig, CO",2000-01-31,98904.74450528964
"Denver, CO",2000-02-29,195637.1430976352
"Colorado Springs, CO",2000-02-29,167595.7715494022
"Fort Collins, CO",2000-02-29,195417.25717394287
"Boulder, CO",2000-02-29,233998.1015578914
"Greeley, CO",2000-02-29,178178.51979412016
"Pueblo, CO",2000-02-29,108024.23182117548
"Grand Junction, CO",2000-02-29,142752.5285675837
"Glenwood Springs, CO",2000-02-29,200038.371686632
"Edwards, CO",2000-02-29,318836.9347195918
"Durango, CO",2000-02-29,
"Ca-¦on City, CO",2000-02-29,
"Montrose, CO",2000-02-29,126614.25947239928
"Breckenridge, CO",2000-02-29,
"Fort Morgan, CO",2000-02-29,
"Steamboat Springs, CO",2000-02-29,227688.17631868875
"Sterling, CO",2000-02-29,92920.1328901092
"Craig, CO",2000-02-29,99157.65085349415
"Denver, CO",2000-03-31,196635.4042622841
"Colorado Springs, CO",2000-03-31,167783.5017771949
"Fort Collins, CO",2000-03-31,195935.56982330696
"Boulder, CO",2000-03-31,235217.21114923616
"Greeley, CO",2000-03-31,177710.6675263407
"Pueblo, CO",2000-03-31,108173.78545644194
"Grand Junction, CO",2000-03-31,141498.7315342684
"Glenwood Springs, CO",2000-03-31,200779.18477755832
"Edwards, CO",2000-03-31,319974.3117423753
"Durango, CO",2000-03-31,
"Ca-¦on City, CO",2000-03-31,
"Montrose, CO",2000-03-31,126940.00022590929
"Breckenridge, CO",2000-03-31,
"Fort Morgan, CO",2000-03-31,
"Steamboat Springs, CO",2000-03-31,228592.17414638
"Sterling, CO",2000-03-31,93055.33964316866
"Craig, CO",2000-03-31,99628.49622290766
"Denver, CO",2000-04-30,198840.43862707345
"Colorado Springs, CO",2000-04-30,168249.97745176285
"Fort Collins, CO",2000-04-30,196908.814492072
"Boulder, CO",2000-04-30,237763.25650753663
"Greeley, CO",2000-04-30,177295.7602590821
"Pueblo, CO",2000-04-30,108544.73963093276
"Grand Junction, CO",2000-04-30,140478.20324632528
"Glenwood Springs, CO",2000-04-30,202230.46124551352
"Edwards, CO",2000-04-30,322001.67412513966
"Durango, CO",2000-04-30,
"Ca-¦on City, CO",2000-04-30,
"Montrose, CO",2000-04-30,127560.87594206887
"Breckenridge, CO",2000-04-30,
"Fort Morgan, CO",2000-04-30,
"Steamboat Springs, CO",2000-04-30,230648.57025335275
"Sterling, CO",2000-04-30,93411.30180306926
"Craig, CO",2000-04-30,100299.0235198295
"Denver, CO",2000-05-31,201190.11215565796
