Metro,Date,ZORI
"Denver, CO",2015-01-31,1268.010953805752
"Colorado Springs, CO",2015-01-31,1050.4451870596006
"Fort Collins, CO",2015-01-31,1235.3631304855387
"Boulder, CO",2015-01-31,1472.575958433854
"Greeley, CO",2015-01-31,
"Pueblo, CO",2015-01-31,
"Grand Junction, CO",2015-01-31,876.2770178855275
"Glenwood Springs, CO",2015-01-31,
"Edwards, CO",2015-01-31,
"Durango, CO",2015-01-31,
"Ca-¦on City, CO",2015-01-31,
"Montrose, CO",2015-01-31,
"Breckenridge, CO",2015-01-31,
"Steamboat Springs, CO",2015-01-31,
"Sterling, CO",2015-01-31,
"Denver, CO",2015-02-28,1283.7369036266412
"Colorado Springs, CO",2015-02-28,1057.6662418997194
"Fort Collins, CO",2015-02-28,1256.4905751924855
"Boulder, CO",2015-02-28,1486.561886877647
"Greeley, CO",2015-02-28,
"Pueblo, CO",2015-02-28,
"Grand Junction, CO",2015-02-28,874.6217050998421
"Glenwood Springs, CO",2015-02-28,
"Edwards, CO",2015-02-28,
"Durango, CO",2015-02-28,
"Ca-¦on City, CO",2015-02-28,
"Montrose, CO",2015-02-28,
"Breckenridge, CO",2015-02-28,
"Steamboat Springs, CO",2015-02-28,
"Sterling, CO",2015-02-28,
"Denver, CO",2015-03-31,1303.2082126665932
"Colorado Springs, CO",2015-03-31,1062.0972875003329
"Fort Collins, CO",2015-03-31,1286.7989914662246
"Boulder, CO",2015-03-31,1491.4631177693043
"Greeley, CO",2015-03-31,1326.0156326174708
"Pueblo, CO",2015-03-31,
"Grand Junction, CO",2015-03-31,878.9889942685762
"Glenwood Springs, CO",2015-03-31,
"Edwards, CO",2015-03-31,
"Durango, CO",2015-03-31,
"Ca-¦on City, CO",2015-03-31,
"Montrose, CO",2015-03-31,
"Breckenridge, CO",2015-03-31,
"Steamboat Springs, CO",2015-03-31,
"Sterling, CO",2015-03-31,
"Denver, CO",2015-04-30,1321.5441644948155
"Colorado Springs, CO",2015-04-30,1067.9424140370886
"Fort Collins, CO",2015-04-30,1298.3328854434574
"Boulder, CO",2015-04-30,1504.348067241964
"Greeley, CO",2015-04-30,1323.189629895301
"Pueblo, CO",2015-04-30,763.3191953041201
"Grand Junction, CO",2015-04-30,886.1507954968954
"Glenwood Springs, CO",2015-04-30,
"Edwards, CO",2015-04-30,
"Durango, CO",2015-04-30,
"Ca-¦on City, CO",2015-04-30,
"Montrose, CO",2015-04-30,
"Breckenridge, CO",2015-04-30,
"Steamboat Springs, CO",2015-04-30,
"Sterling, CO",2015-04-30,
"Denver, CO",2015-05-31,1336.4585327105049
"Colorado Springs, CO",2015-05-31,1077.275810781785
"Fort Collins, CO",2015-05-31,1285.4795464932893
"Boulder, CO",2015-05-31,1513.094023532213
"Greeley, CO",2015-05-31,1309.2664534187338
"Pueblo, CO",2015-05-31,770.0669097114617
"Grand Junction, CO",2015-05-31,899.776442981755
"Glenwood Springs, CO",2015-05-31,
"Edwards, CO",2015-05-31,
"Durango, CO",2015-05-31,
"Ca-¦on City, CO",2015-05-31,
"Montrose, CO",2015-05-31,
"Breckenridge, CO",2015-05-31,
"Steamboat Springs, CO",2015-05-31,
"Sterling, CO",2015-05-31,
"Denver, CO",2015-06-30,1351.9796684285675
"Colorado Springs, CO",2015-06-30,1084.1383347595788
"Fort Collins, CO",2015-06-30,1301.56659337137
"Boulder, CO",2015-06-30,1536.7196499361748
"Greeley, CO",2015-06-30,1299.905219015821
"Pueblo, CO",2015-06-30,764.393689955825
"Grand Junction, CO",2015-06-30,904.972221045806
"Glenwood Springs, CO",2015-06-30,
"Edwards, CO",2015-06-30,
"Durango, CO",2015-06-30,
"Ca-¦on City, CO",2015-06-30,
"Montrose, CO",2015-06-30,
"Breckenridge, CO",2015-06-30,
"Steamboat Springs, CO",2015-06-30,
"Sterling, CO",2015-06-30,
"Denver, CO",2015-07-31,1360.7710515658555
"Colorado Springs, CO",2015-07-31,1092.1092316912243
"Fort Collins, CO",2015-07-31,1307.4681549128445
"Boulder, CO",2015-07-31,1557.3497011563268
"Greeley, CO",2015-07-31,1323.1889286948467
"Pueblo, CO",2015-07-31,771.3192225383201
"Grand Junction, CO",2015-07-31,904.8181932791264
"Glenwood Springs, CO",2015-07-31,
"Edwards, CO",2015-07-31,
"Durango, CO",2015-07-31,
"Ca-¦on City, CO",2015-07-31,
"Montrose, CO",2015-07-31,
"Breckenridge, CO",2015-07-31,
"Steamboat Springs, CO",2015-07-31,
"Sterling, CO",2015-07-31,
"Denver, CO",2015-08-31,1365.5956232760443
"Colorado Springs, CO",2015-08-31,1095.7453487023622
"Fort Collins, CO",2015-08-31,1326.8212081942786
